
- Yellow 5 
- Green 3 
- Blue 2 
- Orange 2 sous ->Blue 
- White 1 DiceIsRoll 

,Blue-Orange-Yellow-Green,Orange-Blue-Yellow-Green,Yellow-Blue-Orange-Green,Blue-Yellow-Orange-Green,Orange-Yellow-Blue-Green,Yellow-Orange-Blue-Green,Green-Blue-Orange-Yellow,Blue-Green-Orange-Yellow,Orange-Green-Blue-Yellow,Green-Orange-Blue-Yellow,Blue-Orange-Green-Yellow,Orange-Blue-Green-Yellow,Yellow-Green-Blue-Orange,Green-Yellow-Blue-Orange,Blue-Yellow-Green-Orange,Yellow-Blue-Green-Orange,Green-Blue-Yellow-Orange,Blue-Green-Yellow-Orange,Orange-Yellow-Green-Blue,Yellow-Orange-Green-Blue,Green-Orange-Yellow-Blue,Orange-Green-Yellow-Blue,Yellow-Green-Orange-Blue,Green-Yellow-Orange-Blue,
1-1-1-1,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Blue4->G  Green4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Blue4->G  Green4->O  Orange4 Yellow6 ,White1 Blue4->G  Green4->O  Orange4 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Blue4->G  Green4->O  Orange4 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,
1-1-1-2,White1 Green5->B  Blue5->O  Orange5 Yellow6 ,White1 Blue4 Green5->O  Orange5 Yellow6 ,White1 Green5->B  Blue5->O  Orange5 Yellow6 ,White1 Green5->B  Blue5->O  Orange5 Yellow6 ,White1 Blue4 Green5->O  Orange5 Yellow6 ,White1 Blue4 Green5->O  Orange5 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow7 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,White1 Green4->O  Orange4 Yellow7->B  Blue7 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,White1 Green4->B  Blue4->O  Orange4 Yellow7 ,White1 Blue4->G  Green4->O  Orange4 Yellow7 ,White1 Blue3 Green4->O  Orange4 Yellow6 ,White1 Blue3 Green4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Blue3 Green4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Orange3 Green4 Blue5 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Orange3 Green4 Blue5 Yellow6 ,White1 Orange3 Green4 Blue5 Yellow6 ,
1-1-1-3,White1 Yellow6->G  Green6->B  Blue6->O  Orange6 ,White1 Blue4 Yellow6->G  Green6->O  Orange6 ,White1 Yellow6->G  Green6->B  Blue6->O  Orange6 ,White1 Yellow6->G  Green6->B  Blue6->O  Orange6 ,White1 Blue4 Yellow6->G  Green6->O  Orange6 ,White1 Blue4 Yellow6->G  Green6->O  Orange6 ,White1 Blue3->O  Orange3 Green4 Yellow8 ,White1 Orange3 Green4->B  Blue4 Yellow8 ,White1 Green4->O  Orange4 Yellow8->B  Blue8 ,White1 Orange3 Green4->B  Blue4 Yellow8 ,White1 Green4->B  Blue4->O  Orange4 Yellow8 ,White1 Blue4->G  Green4->O  Orange4 Yellow8 ,White1 Blue3 Green4 Orange5 Yellow6 ,White1 Blue3 Green4 Orange5 Yellow6 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Blue3 Green4 Orange5 Yellow6 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,White1 Orange3 Green4 Yellow6->B  Blue6 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,White1 Orange3 Green4 Yellow6->B  Blue6 ,White1 Orange3 Green4 Yellow6->B  Blue6 ,
1-1-2-1,White1 Green4->B  Blue4->O  Orange4 Yellow7 ,White1 Blue4->G  Green4->O  Orange4 Yellow7 ,White1 Orange4->G  Green4->B  Blue4 Yellow6 ,White1 Orange4->G  Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Blue3 Green4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Green4->O  Orange4 Blue6->Y  Yellow6 ,White1 Orange3 Green4 Yellow6->B  Blue6 ,White1 Yellow6->G  Green6->B  Blue6->O  Orange6 ,White1 Blue4 Yellow6->G  Green6->O  Orange6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Green5->B  Blue5 Yellow6 ,White1 Orange3 Green5->B  Blue5 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow7 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,White1 Green5->O  Orange5 Yellow6->B  Blue6 ,White1 Green5->O  Orange5 Yellow6->B  Blue6 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,White1 Green4->O  Orange4 Blue5 Yellow7 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,
1-1-2-2,White1 Green5->B  Blue5->O  Orange5 Yellow7 ,White1 Blue4 Green5->O  Orange5 Yellow7 ,White1 Orange4 Green5->B  Blue5 Yellow6 ,White1 Orange4 Green5->B  Blue5 Yellow6 ,White1 Blue5->G  Green5->O  Orange5 Yellow6 ,White1 Blue5->G  Green5->O  Orange5 Yellow6 ,White1 Blue3 Green4->O  Orange4 Yellow7 ,White1 Green4->B  Blue4->O  Orange4 Yellow7 ,White1 Green4->O  Orange4 Blue6 Yellow7 ,White1 Orange3 Green4 Yellow7->B  Blue7 ,White1 Yellow7->G  Green7->B  Blue7->O  Orange7 ,White1 Blue4 Yellow7->G  Green7->O  Orange7 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow6 ,White1 Orange4 Green5->B  Blue5 Yellow6 ,White1 Orange4 Green5->B  Blue5 Yellow6 ,White1 Blue3 Green4->O  Orange4 Yellow7 ,White1 Green4->B  Blue4->O  Orange4 Yellow7 ,White1 Green5->O  Orange5 Yellow6 Blue7 ,White1 Green5->O  Orange5 Yellow6 Blue7 ,White1 Orange3 Green4 Blue5 Yellow7 ,White1 Green4->O  Orange4 Blue6 Yellow7 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,
1-1-2-3,White1 Green6->B  Blue6->O  Orange6 Yellow7 ,White1 Blue4 Green6->O  Orange6 Yellow7 ,White1 Orange4 Yellow6->G  Green6->B  Blue6 ,White1 Orange4 Yellow6->G  Green6->B  Blue6 ,White1 Blue5 Yellow6->G  Green6->O  Orange6 ,White1 Blue5 Yellow6->G  Green6->O  Orange6 ,White1 Blue3 Green4->O  Orange4 Yellow8 ,White1 Green4->B  Blue4->O  Orange4 Yellow8 ,White1 Green4->O  Orange4 Blue6 Yellow8 ,White1 Orange3 Green4 Yellow8->B  Blue8 ,White1 Yellow8->G  Green8->B  Blue8->O  Orange8 ,White1 Blue4 Yellow8->G  Green8->O  Orange8 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green5->B  Blue5->O  Orange5 Yellow6 ,White1 Green5->B  Blue5->O  Orange5 Yellow6 ,White1 Blue3 Green4 Orange5 Yellow7 ,White1 Green4->B  Blue4 Orange5 Yellow7 ,White1 Green5->O  Orange5 Yellow6 Blue8 ,White1 Green5->O  Orange5 Yellow6 Blue8 ,White1 Orange3 Green4 Blue6 Yellow7 ,White1 Green4->O  Orange4 Yellow7->B  Blue7 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,
1-1-3-1,White1 Green4->B  Blue4->O  Orange4 Yellow8 ,White1 Blue4->G  Green4->O  Orange4 Yellow8 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green4->B  Blue4 Orange5 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Blue3 Green4 Yellow6->O  Orange6 ,White1 Green4->B  Blue4 Yellow6->O  Orange6 ,White1 Green4->O  Orange4 Yellow6 Blue7 ,White1 Orange3 Green4 Blue6->Y  Yellow6 ,White1 Green6->B  Blue6->O  Orange6->Y  Yellow6 ,White1 Blue4 Green6->O  Orange6->Y  Yellow6 ,White1 Orange3 Green4 Blue5 Yellow6 ,White1 Orange3 Green4 Blue5 Yellow6 ,White1 Orange3 Yellow6->G  Green6->B  Blue6 ,White1 Orange3 Yellow6->G  Green6->B  Blue6 ,White1 Blue3->O  Orange3 Green4 Yellow8 ,White1 Orange3 Green4->B  Blue4 Yellow8 ,White1 Yellow6->G  Green6->O  Orange6 Blue7 ,White1 Yellow6->G  Green6->O  Orange6 Blue7 ,White1 Orange3 Green4->B  Blue4 Yellow8 ,White1 Green4->O  Orange4 Blue5 Yellow8 ,White1 Green4 Orange5 Yellow6->B  Blue6 ,White1 Green4 Orange5 Yellow6->B  Blue6 ,
1-1-3-2,White1 Green5->B  Blue5->O  Orange5 Yellow8 ,White1 Blue4 Green5->O  Orange5 Yellow8 ,White1 Orange5->G  Green5->B  Blue5 Yellow6 ,White1 Orange5->G  Green5->B  Blue5 Yellow6 ,White1 Green5->O  Orange5 Yellow6->B  Blue6 ,White1 Green5->O  Orange5 Yellow6->B  Blue6 ,White1 Blue3 Green4 Yellow7->O  Orange7 ,White1 Green4->B  Blue4 Yellow7->O  Orange7 ,White1 Green4->O  Orange4 Blue7->Y  Yellow7 ,White1 Orange3 Green4 Blue6 Yellow7 ,White1 Green6->B  Blue6->O  Orange6 Yellow7 ,White1 Blue4 Green6->O  Orange6 Yellow7 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Orange4 Yellow6->G  Green6->B  Blue6 ,White1 Orange4 Yellow6->G  Green6->B  Blue6 ,White1 Blue3 Green4->O  Orange4 Yellow8 ,White1 Green4->B  Blue4->O  Orange4 Yellow8 ,White1 Yellow6->G  Green6->O  Orange6 Blue8 ,White1 Yellow6->G  Green6->O  Orange6 Blue8 ,White1 Orange3 Green4 Blue5 Yellow8 ,White1 Green4->O  Orange4 Blue6 Yellow8 ,White1 Green4 Orange5 Yellow6 Blue7 ,White1 Green4 Orange5 Yellow6 Blue7 ,
1-1-3-3,White1 Green6->B  Blue6->O  Orange6 Yellow8 ,White1 Blue4 Green6->O  Orange6 Yellow8 ,White1 Orange5 Yellow6->G  Green6->B  Blue6 ,White1 Orange5 Yellow6->G  Green6->B  Blue6 ,White1 Yellow6->B  Blue6->G  Green6->O  Orange6 ,White1 Yellow6->B  Blue6->G  Green6->O  Orange6 ,White1 Blue3 Green4 Yellow8->O  Orange8 ,White1 Green4->B  Blue4 Yellow8->O  Orange8 ,White1 Green4->O  Orange4 Blue7 Yellow8 ,White1 Orange3 Green4 Blue6 Yellow8 ,White1 Green6->B  Blue6->O  Orange6 Yellow8 ,White1 Blue4 Green6->O  Orange6 Yellow8 ,White1 Green4 Blue5->O  Orange5 Yellow6 ,White1 Green4 Blue5->O  Orange5 Yellow6 ,White1 Orange5 Yellow6->G  Green6->B  Blue6 ,White1 Orange5 Yellow6->G  Green6->B  Blue6 ,White1 Blue3 Green4 Orange5 Yellow8 ,White1 Green4->B  Blue4 Orange5 Yellow8 ,White1 Yellow6->G  Green6->O  Orange6 Blue9 ,White1 Yellow6->G  Green6->O  Orange6 Blue9 ,White1 Orange3 Green4 Blue6 Yellow8 ,White1 Green4->O  Orange4 Blue7 Yellow8 ,White1 Green4 Orange5 Yellow6 Blue8 ,White1 Green4 Orange5 Yellow6 Blue8 ,
1-2-1-1,White1 Orange4->G  Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Blue4->G  Green4->O  Orange4 Yellow6 ,White1 Green4->B  Blue4->O  Orange4 Yellow7 ,White1 Blue4->G  Green4->O  Orange4 Yellow7 ,White1 Orange4->G  Green4 Blue5 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Yellow6->G  Green6->B  Blue6 ,White1 Blue6->Y  Yellow6->G  Green6->O  Orange6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Orange4->G  Green4->B  Blue4 Yellow6 ,White1 Green4->O  Orange4 Yellow6->B  Blue6 ,White1 Blue3->O  Orange3 Green5 Yellow6 ,White1 Blue3->O  Orange3 Green4 Yellow7 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,White1 Orange3 Blue4->G  Green4 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow6 ,White1 Orange3 Yellow6->G  Green6->B  Blue6 ,White1 Green4->O  Orange4 Blue5 Yellow7 ,White1 Orange4 Blue5->G  Green5 Yellow6 ,White1 Green4->O  Orange4 Blue5 Yellow6 ,White1 Yellow6->G  Green6->O  Orange6 Blue7 ,White1 Orange3 Blue4 Green5 Yellow6 ,White1 Orange3 Green4->B  Blue4 Yellow7 ,
